victory,round,lumber,brick,grain,wool,ore,settlement,city,knight,city_hall,development,road
1,1,0,0,0,0,3,1,0,0,0,0,1
1,2,0,0,0,0,3,1,0,0,0,0,1
1,3,0,2,0,0,3,1,0,0,0,0,1
1,4,0,2,0,0,3,1,0,0,0,0,1
1,5,0,2,0,1,3,1,0,0,0,0,1
1,6,0,2,0,1,3,1,0,0,0,0,1
2,7,0,1,0,1,3,1,0,0,0,0,2
2,8,0,1,0,1,3,1,0,0,0,0,2
2,9,0,0,1,1,2,1,0,0,0,0,3
2,10,0,0,1,1,2,1,0,0,0,0,3
2,11,1,0,0,3,0,1,0,1,0,0,3
2,12,1,0,0,3,0,1,0,0,0,0,3
5,13,1,0,0,0,0,1,0,0,0,1,3
5,14,1,0,0,0,0,1,0,0,0,1,3
5,15,1,0,0,1,1,1,0,0,0,1,3
5,16,1,0,0,1,1,1,0,0,0,1,3
5,17,1,0,1,2,1,1,0,0,0,1,3
5,18,1,0,1,2,1,1,0,0,0,1,3
5,19,2,0,0,2,1,1,0,1,0,1,3
5,20,2,0,0,2,1,1,0,1,0,1,3
6,21,1,0,0,2,0,1,0,1,0,1,4
