text,created_at,status_id
In darkness we walk. ,2018-01-03T00:47:25Z,948355082369695744
"Standing tall, side by side, we shall build thy throne upon the burning ashes. ",2018-01-03T00:47:00Z,948354975855448064
This is the dawn of the infernal reign. ,2018-01-01T00:42:00Z,947628941048651776
Black covfefe cats. ,2017-12-29T21:01:06Z,946848575446663168
A breath of the past so distant and so unreal. A soul condemned to haunt a frozen burial ground. ,2017-12-28T20:35:00Z,946479619020115968
Black coffee cats. ,2017-12-28T00:15:48Z,946172798203916288
"I am the cadaverous stench of decay, savage destroyer of the sanctified laws, the crushing hammer of the Antichrist. ",2017-12-27T00:27:00Z,945813226805252096
Say goodbye to the light. ,2017-12-26T15:50:00Z,945683121336344576
"See the devastation, hear the bestial noise, as savage bastards prowl through the debris. ",2017-12-25T00:05:01Z,945082917931356161
The storm will never end. ,2017-12-23T15:49:00Z,944595705204678656
I am the creature you fear. ,2017-12-22T21:29:00Z,944318880771690501
"When the time has come, I will return with death on my mind. ",2017-12-21T23:06:08Z,943980936693129217
Dark northern winters await. ,2017-12-20T22:18:00Z,943606436105351168
"Onward to the battlefield, into a blazing storm of steel, where I shall kill and be killed. ",2017-12-19T21:21:00Z,943229703694966785
"Forever dying, but never dead. ",2017-12-19T16:58:00Z,943163517795942400
"Satan, your time has come. This world must end. ",2017-12-18T22:36:00Z,942886191107575808
Dead stars still burn. ,2017-12-18T11:46:00Z,942722612412772353
"My soul is dead, but the flesh still lives. ",2017-12-17T23:16:02Z,942533875678375937
The great day of wrath is coming. ,2017-12-17T19:39:11Z,942479304905998336
"In the mighty name of Satan, blood shall be fucking spilled. ",2017-12-17T01:10:00Z,942200170011414530
"From despair to oblivion, the storm will never end. ",2017-12-15T23:38:00Z,941814629415624704
"We hate you, too. ",2017-12-15T16:29:00Z,941706668412407809
"In this land, only death is real. ",2017-12-14T22:39:17Z,941437464593305600
Look at this handsome devil. ,2017-12-14T13:06:00Z,941293194586808320
Follow me to the land far beyond the forest. I will drag your mortal soul to the deepest pits of hell. ,2017-12-13T20:53:00Z,941048330691469312
Get yours before we all die. ,2017-12-13T15:04:00Z,940960503387398144
Timely. ,2017-12-13T00:43:30Z,940743951287504896
"I became the one who defies infinity, an immortal soul damned by hate for everything. ",2017-12-12T22:31:41Z,940710778914553856
Say goodbye to the light. ,2017-12-11T21:34:00Z,940333874630090758
Beware of the cat. ,2017-12-11T14:54:02Z,940233218204172288
"Sworn to the dark, to the death, and far beyond. ",2017-12-10T22:29:48Z,939985528421675008
There is war in my heart. ,2017-12-09T23:20:01Z,939635775850790912
My blood runs cold through my veins. Behold the purest evil. ,2017-12-08T22:17:00Z,939257531339173889
You are all ours to claim. ,2017-12-08T01:02:53Z,938936890635325441
The great day of wrath is coming. ,2017-12-07T22:41:34Z,938901326414594048
"Pain, plague and pestilence shall sweep through. Grim is the truth that hides behind the fading light. ",2017-12-07T04:06:00Z,938620583306293248
"Beware the legions of Satan, they're ready for attack! ",2017-12-05T22:48:00Z,938178169399422976
"Born on a day of curses and damnation, I was doomed to hate. ",2017-12-04T21:40:01Z,937798672347226113
"Feared by most, hated by all, loved by none. ",2017-12-04T15:37:02Z,937707324126449664
Sickening world. Sickening time. We pray for your devastation. ,2017-12-03T23:15:03Z,937460199979335680
"In case you weren't aware, we're also on Facebook. ",2017-12-03T06:36:06Z,937208807310082048
Born by the nothingness into eternal blasphemy. ,2017-12-03T04:15:01Z,937173299448221696
We shall die alone among the wilderness. ,2017-12-02T16:54:01Z,937001921507876864
"From the north, from the south, from the west, from the east. I summon you, gods of the pit. ",2017-12-02T08:58:00Z,936882128054341632
Our hatred burns (but not our caffè latte). ,2017-12-01T15:50:01Z,936623426403487746
"Desolation and absolute emptiness, unbearable sensation of impotence. We're dazzled by the total obscurity of the parallel world. ",2017-12-01T00:11:09Z,936387153084289025
We are vengeance incarnate. ,2017-11-30T03:46:58Z,936079080025309184
Hatred burns within my veins toward your wretched kind. ,2017-11-29T23:16:00Z,936010889337155584
"Humanity, what have you ever done for me? ",2017-11-28T22:10:00Z,935631890958000128
We know you do. ,2017-11-28T17:34:00Z,935562434303156225
I am vengeance incarnate. Your futile world I shall desecrate. ,2017-11-27T22:39:44Z,935276983633690630
Who needs a guard dog? ,2017-11-27T14:34:01Z,935154750059958272
"The less alone I am, the more alone I feel. ",2017-11-26T21:20:00Z,934894532969336832
We are the bringers of pestilence and hate. ,2017-11-26T15:06:00Z,934800412162576387
I am the bringer of the final war. I shall cleanse the earth from the worms of the human breed. ,2017-11-25T23:38:00Z,934566873642950656
"I am the predator, and you are all mine to claim. ",2017-11-24T23:33:00Z,934203228161499137
"I hate the soil I walk, despise the earth that gave me birth, but on the day of commotion I shall rise and walk into my sulphur kingdom. ",2017-11-23T17:28:00Z,933748983565914112
Stay warm in the frozen winter. ,2017-11-22T23:10:01Z,933472667507687424
"Now I know what lies beyond, now I know my fate—to dwell in the fathomless depths of eternity. ",2017-11-22T20:56:00Z,933438941482516480
"Feared by most, hated by all, loved by none. ",2017-11-21T22:02:00Z,933093162175709184
Even if we don't love you. ,2017-11-21T16:09:01Z,933004328901607424
I live my life alone in all its misery. I shall die alone among the wilderness. ,2017-11-20T22:25:56Z,932736799171997696
Here lies only ruin and damnation. ,2017-11-20T13:26:01Z,932600922118660096
We walk this endless night. ,2017-11-19T23:58:01Z,932397584601137152
"I am the great wanderer, the one carrying the vernal smell. My words are the voice of chaos. ",2017-11-19T22:19:18Z,932372739704479744
I walk this endless night. I follow the voice whispering my name. ,2017-11-19T01:27:55Z,932057819636908032
Be very afraid. ,2017-11-18T21:02:00Z,931990900523307008
We are the worshippers of darkness. Feel our hate. ,2017-11-17T22:04:00Z,931644115405754369
Just in time for the cold northern winter. ,2017-11-17T16:01:00Z,931552762814283776
Love more pure than water of a mountain source. ,2017-11-17T00:16:00Z,931314944540164097
